# 中華民國 115 年（西元 2026 年）政府行政機關辦公日曆表——放假日
# 來源：行政院人事行政總處（院長 2026-08-05 提供日曆表圖檔，逐月判讀後建檔）
# 收錄行事曆上「所有放假日」（院長 2026-08-05 指示：放假日一律不做兒童發展篩檢），
# 含一般例假日；有假日名稱者以官方名稱標示。
# ⚠ 補假日（如「和平紀念日（補假）」）**必須收錄**：院長 2026-08-16 確認
#   國定假日的補休日也停開兒童發展篩檢。補假一定落在週一至週五，
#   正好是篩檢的施測日，刪掉就等於那天照常開放預約。
#   補行上班的週六是「上班日」，不收（官方檔標記 0，匯入時自動略過）。
# 格式：YYYY-MM-DD,名稱
2026-01-01,開國紀念日
2026-01-03,例假日
2026-01-04,例假日
2026-01-10,例假日
2026-01-11,例假日
2026-01-17,例假日
2026-01-18,例假日
2026-01-24,例假日
2026-01-25,例假日
2026-01-31,例假日
2026-02-01,例假日
2026-02-07,例假日
2026-02-08,例假日
2026-02-14,例假日
2026-02-15,例假日
2026-02-16,除夕
2026-02-17,春節
2026-02-18,春節
2026-02-19,春節
2026-02-20,春節
2026-02-21,例假日
2026-02-22,例假日
2026-02-28,和平紀念日
2026-03-01,例假日
2026-03-02,和平紀念日（補假）
2026-03-07,例假日
2026-03-08,例假日
2026-03-14,例假日
2026-03-15,例假日
2026-03-21,例假日
2026-03-22,例假日
2026-03-28,例假日
2026-03-29,例假日
2026-04-03,兒童節（補假）
2026-04-04,兒童節
2026-04-05,清明節
2026-04-06,清明節（補假）
2026-04-11,例假日
2026-04-12,例假日
2026-04-18,例假日
2026-04-19,例假日
2026-04-25,例假日
2026-04-26,例假日
2026-05-01,勞動節
2026-05-02,例假日
2026-05-03,例假日
2026-05-09,例假日
2026-05-10,例假日
2026-05-16,例假日
2026-05-17,例假日
2026-05-23,例假日
2026-05-24,例假日
2026-05-30,例假日
2026-05-31,例假日
2026-06-06,例假日
2026-06-07,例假日
2026-06-13,例假日
2026-06-14,例假日
2026-06-19,端午節
2026-06-20,例假日
2026-06-21,例假日
2026-06-27,例假日
2026-06-28,例假日
2026-07-04,例假日
2026-07-05,例假日
2026-07-11,例假日
2026-07-12,例假日
2026-07-18,例假日
2026-07-19,例假日
2026-07-25,例假日
2026-07-26,例假日
2026-08-01,例假日
2026-08-02,例假日
2026-08-08,例假日
2026-08-09,例假日
2026-08-15,例假日
2026-08-16,例假日
2026-08-22,例假日
2026-08-23,例假日
2026-08-29,例假日
2026-08-30,例假日
2026-09-05,例假日
2026-09-06,例假日
2026-09-12,例假日
2026-09-13,例假日
2026-09-19,例假日
2026-09-20,例假日
2026-09-25,中秋節
2026-09-26,例假日
2026-09-27,例假日
2026-09-28,教師節
2026-10-03,例假日
2026-10-04,例假日
2026-10-09,國慶日（補假）
2026-10-10,國慶日
2026-10-11,例假日
2026-10-17,例假日
2026-10-18,例假日
2026-10-24,例假日
2026-10-25,臺灣光復暨金門古寧頭大捷紀念日
2026-10-26,臺灣光復暨金門古寧頭大捷紀念日（補假）
2026-10-31,例假日
2026-11-01,例假日
2026-11-07,例假日
2026-11-08,例假日
2026-11-14,例假日
2026-11-15,例假日
2026-11-21,例假日
2026-11-22,例假日
2026-11-28,例假日
2026-11-29,例假日
2026-12-05,例假日
2026-12-06,例假日
2026-12-12,例假日
2026-12-13,例假日
2026-12-19,例假日
2026-12-20,例假日
2026-12-25,行憲紀念日
2026-12-26,例假日
2026-12-27,例假日
