# 中華民國 116 年（西元 2027 年）政府行政機關辦公日曆表——放假日
# 來源：行政院人事行政總處（院長 2026-08-07 提供日曆表圖檔，逐月判讀後建檔）
# 收錄行事曆上「所有放假日」（院長 2026-08-05 指示：放假日一律不做兒童發展篩檢），
# 含一般例假日；有假日名稱者以官方名稱標示。
# 共 121 天＝例假日（六、日）104 天 ＋ 平日假 17 天；全年無補班日。
# ⚠ 補假日（如「和平紀念日（補假）」）**必須收錄**：院長 2026-08-16 確認
#   國定假日的補休日也停開兒童發展篩檢。補假一定落在週一至週五，
#   正好是篩檢的施測日，刪掉就等於那天照常開放預約。
#   補行上班的週六是「上班日」，不收（官方檔標記 0，匯入時自動略過）。
# 格式：YYYY-MM-DD,名稱
2027-01-01,開國紀念日
2027-01-02,例假日
2027-01-03,例假日
2027-01-09,例假日
2027-01-10,例假日
2027-01-16,例假日
2027-01-17,例假日
2027-01-23,例假日
2027-01-24,例假日
2027-01-30,例假日
2027-01-31,例假日
2027-02-04,春節
2027-02-05,除夕
2027-02-06,春節
2027-02-07,春節
2027-02-08,春節
2027-02-09,春節（補假）
2027-02-10,春節（補假）
2027-02-13,例假日
2027-02-14,例假日
2027-02-20,例假日
2027-02-21,例假日
2027-02-27,例假日
2027-02-28,和平紀念日
2027-03-01,和平紀念日（補假）
2027-03-06,例假日
2027-03-07,例假日
2027-03-13,例假日
2027-03-14,例假日
2027-03-20,例假日
2027-03-21,例假日
2027-03-27,例假日
2027-03-28,例假日
2027-04-03,例假日
2027-04-04,兒童節
2027-04-05,清明節
2027-04-06,兒童節（補假）
2027-04-10,例假日
2027-04-11,例假日
2027-04-17,例假日
2027-04-18,例假日
2027-04-24,例假日
2027-04-25,例假日
2027-04-30,勞動節（補假）
2027-05-01,勞動節
2027-05-02,例假日
2027-05-08,例假日
2027-05-09,例假日
2027-05-15,例假日
2027-05-16,例假日
2027-05-22,例假日
2027-05-23,例假日
2027-05-29,例假日
2027-05-30,例假日
2027-06-05,例假日
2027-06-06,例假日
2027-06-09,端午節
2027-06-12,例假日
2027-06-13,例假日
2027-06-19,例假日
2027-06-20,例假日
2027-06-26,例假日
2027-06-27,例假日
2027-07-03,例假日
2027-07-04,例假日
2027-07-10,例假日
2027-07-11,例假日
2027-07-17,例假日
2027-07-18,例假日
2027-07-24,例假日
2027-07-25,例假日
2027-07-31,例假日
2027-08-01,例假日
2027-08-07,例假日
2027-08-08,例假日
2027-08-14,例假日
2027-08-15,例假日
2027-08-21,例假日
2027-08-22,例假日
2027-08-28,例假日
2027-08-29,例假日
2027-09-04,例假日
2027-09-05,例假日
2027-09-11,例假日
2027-09-12,例假日
2027-09-15,中秋節
2027-09-18,例假日
2027-09-19,例假日
2027-09-25,例假日
2027-09-26,例假日
2027-09-28,教師節
2027-10-02,例假日
2027-10-03,例假日
2027-10-09,例假日
2027-10-10,國慶日
2027-10-11,國慶日（補假）
2027-10-16,例假日
2027-10-17,例假日
2027-10-23,例假日
2027-10-24,例假日
2027-10-25,臺灣光復暨金門古寧頭大捷紀念日
2027-10-30,例假日
2027-10-31,例假日
2027-11-06,例假日
2027-11-07,例假日
2027-11-13,例假日
2027-11-14,例假日
2027-11-20,例假日
2027-11-21,例假日
2027-11-27,例假日
2027-11-28,例假日
2027-12-04,例假日
2027-12-05,例假日
2027-12-11,例假日
2027-12-12,例假日
2027-12-18,例假日
2027-12-19,例假日
2027-12-24,行憲紀念日（補假）
2027-12-25,行憲紀念日
2027-12-26,例假日
2027-12-31,開國紀念日（補假）
